instance,pricing,customers,facilities,regime,seed,status,iterations,pricing_calls,total_columns,seed_columns,phase1_route_columns,phase2_pairing_columns,max_routes_per_column,avg_routes_per_pairing,reached_optimality,total_seconds,master_seconds,pricing_seconds,root_lp_objective,integer_objective,open_facilities
lrsp_n025_f05_tight_s3,ip,25,5,tight,3,lp_optimal,8,40,410,75,335,0,1,0.0000,1,0.895100,0.014400,0.325900,1816.988844,1854.200512,4
lrsp_n025_f08_moderate_s1,dp,25,8,moderate,1,lp_optimal,11,88,876,156,720,0,1,0.0000,1,24.452900,0.027800,24.033500,1510.187820,1559.706877,5
lrsp_n025_f08_moderate_s1,ip,25,8,moderate,1,lp_optimal,11,88,876,156,720,0,1,0.0000,1,22.190100,0.026100,21.731500,1510.187820,1559.706877,5
lrsp_n025_f08_moderate_s3,ip,25,8,moderate,3,time_limit,1,8,309,181,128,0,1,0.0000,0,38.557500,0.007300,38.397000,1819.067383,1908.520681,5
lrsp_n025_f08_tight_s1,dp,25,8,tight,1,lp_optimal,7,56,389,97,292,0,1,0.0000,1,2.125100,0.009100,0.096100,1837.039189,1927.786233,6
lrsp_n025_f08_tight_s1,ip,25,8,tight,1,lp_optimal,7,56,389,97,292,0,1,0.0000,1,2.112300,0.009700,0.098200,1837.039189,1927.786233,6
lrsp_n025_f08_tight_s2,dp,25,8,tight,2,lp_optimal,8,64,528,136,392,0,1,0.0000,1,2.691100,0.013500,0.443800,1861.192086,2014.706940,6
lrsp_n025_f08_tight_s2,ip,25,8,tight,2,lp_optimal,8,64,528,136,392,0,1,0.0000,1,2.574800,0.013500,0.430300,1861.192086,2014.706940,6
lrsp_n025_f08_tight_s3,dp,25,8,tight,3,lp_optimal,7,56,433,116,317,0,1,0.0000,1,0.466400,0.013700,0.342600,1816.084847,1862.478460,6
lrsp_n025_f08_tight_s3,ip,25,8,tight,3,lp_optimal,7,56,433,116,317,0,1,0.0000,1,0.432300,0.013100,0.334100,1816.084847,1862.478460,6
lrsp_n030_f06_tight_s1,ip,30,6,tight,1,time_limit,6,36,678,176,502,0,1,0.0000,0,32.502600,0.020600,32.175800,2067.962487,2083.391575,5
