method,instance,n_customers,n_facilities,n_periods,total_time,pricing_time,master_time,iterations,columns_generated,objective,status,notes,regime,seed,root_lp_objective,phase2_pairing_columns
ip,lrsp_n021_f07_moderate_s1,21,7,,358.947500,358.813200,0.011800,11,832,1827.601273,lp_optimal,reached_optimality=1,moderate,1,1743.819891,0
ip,lrsp_n021_f07_moderate_s2,21,7,,352.781100,352.647500,0.011000,10,849,1297.941093,lp_optimal,reached_optimality=1,moderate,2,1229.350137,0
ip,lrsp_n021_f07_moderate_s3,21,7,,525.874200,524.960700,0.011300,10,790,1584.063165,lp_optimal,reached_optimality=1,moderate,3,1523.190221,0
ip,lrsp_n021_f07_tight_s1,21,7,,58.691400,2.693800,0.009400,9,686,2504.700639,lp_optimal,reached_optimality=1,tight,1,2203.270232,0
ip,lrsp_n021_f07_tight_s2,21,7,,4.097800,0.423300,0.006400,7,464,1784.291738,lp_optimal,reached_optimality=1,tight,2,1559.428405,0
ip,lrsp_n021_f07_tight_s3,21,7,,15.073400,1.585000,0.007400,8,532,2116.222093,lp_optimal,reached_optimality=1,tight,3,1881.574403,0
ip,lrsp_n022_f07_moderate_s1,22,7,,136.712700,136.652300,0.008900,9,652,1558.256099,lp_optimal,reached_optimality=1,moderate,1,1534.896442,0
ip,lrsp_n022_f07_moderate_s2,22,7,,461.011400,460.872700,0.015100,12,926,1468.448324,lp_optimal,reached_optimality=1,moderate,2,1366.414531,0
ip,lrsp_n022_f07_moderate_s3,22,7,,337.802900,337.673200,0.014700,13,1061,1514.431020,lp_optimal,reached_optimality=1,moderate,3,1467.909628,0
ip,lrsp_n022_f07_tight_s1,22,7,,0.572900,0.502400,0.005100,7,416,2146.837978,lp_optimal,reached_optimality=1,tight,1,2092.843034,0
ip,lrsp_n022_f07_tight_s2,22,7,,22.781500,0.510000,0.007300,8,547,1973.130608,lp_optimal,reached_optimality=1,tight,2,1717.453324,0
ip,lrsp_n022_f07_tight_s3,22,7,,0.687100,0.606000,0.004700,7,436,2050.189321,lp_optimal,reached_optimality=1,tight,3,1973.814713,0
ip,lrsp_n023_f07_moderate_s1,23,7,,3.216000,2.363500,0.012000,9,652,1398.407741,lp_optimal,reached_optimality=1,moderate,1,1338.592918,0
